date,state,district,pincode,bio_age_5_17,bio_age_17_
02-11-2025,Tamil Nadu,Krishnagiri,635110,0,1
31-10-2025,Tamil Nadu,Krishnagiri,635654,0,1
26-10-2025,Tamil Nadu,Krishnagiri,635107,0,1
26-10-2025,Tamil Nadu,Krishnagiri,635123,0,1
26-10-2025,Tamil Nadu,Krishnagiri,635201,0,3
01-10-2025,Tamil Nadu,Krishnagiri,635105,1,1
01-10-2025,Tamil Nadu,Krishnagiri,635107,0,1
01-10-2025,Tamil Nadu,Krishnagiri,635108,0,2
27-09-2025,Tamil Nadu,Krishnagiri,635106,0,1
12-10-2025,Tamil Nadu,Krishnagiri,635110,1,1
12-10-2025,Tamil Nadu,Krishnagiri,635115,0,2
12-10-2025,Tamil Nadu,Krishnagiri,635306,0,1
03-09-2025,Tamil Nadu,Krishnagiri,636902,0,3
05-09-2025,Tamil Nadu,Krishnagiri,635121,0,1
05-09-2025,Tamil Nadu,Krishnagiri,635122,0,1
07-09-2025,Tamil Nadu,Krishnagiri,635105,0,2
15-10-2025,Tamil Nadu,Krishnagiri,635124,0,6
19-10-2025,Tamil Nadu,Krishnagiri,635105,0,3
05-10-2025,Tamil Nadu,Krishnagiri,635101,0,5
05-10-2025,Tamil Nadu,Krishnagiri,635110,1,0
05-10-2025,Tamil Nadu,Krishnagiri,635113,0,1
05-10-2025,Tamil Nadu,Krishnagiri,635115,2,1
05-10-2025,Tamil Nadu,Krishnagiri,635122,0,1
05-10-2025,Tamil Nadu,Krishnagiri,635126,1,6
28-09-2025,Tamil Nadu,Krishnagiri,635306,0,1
21-09-2025,Tamil Nadu,Krishnagiri,635103,0,1
21-09-2025,Tamil Nadu,Krishnagiri,635118,0,3
21-09-2025,Tamil Nadu,Krishnagiri,635121,0,2
14-09-2025,Tamil Nadu,Krishnagiri,635204,0,1
16-09-2025,Tamil Nadu,Krishnagiri,635124,0,9
31-08-2025,Tamil Nadu,Krishnagiri,635109,0,3
31-08-2025,Tamil Nadu,Krishnagiri,635115,0,1
31-08-2025,Tamil Nadu,Krishnagiri,635117,0,1
19-08-2025,Tamil Nadu,Krishnagiri,635124,0,4
19-08-2025,Tamil Nadu,Krishnagiri,636803,0,1
21-08-2025,Tamil Nadu,Krishnagiri,636812,0,1
24-08-2025,Tamil Nadu,Krishnagiri,635102,0,1
24-08-2025,Tamil Nadu,Krishnagiri,635108,0,1
24-08-2025,Tamil Nadu,Krishnagiri,635115,0,1
27-08-2025,Tamil Nadu,Krishnagiri,635101,0,1
27-08-2025,Tamil Nadu,Krishnagiri,635110,0,1
27-08-2025,Tamil Nadu,Krishnagiri,635306,1,0
23-08-2025,Tamil Nadu,Krishnagiri,635207,1,19
23-08-2025,Tamil Nadu,Krishnagiri,636902,2,2
15-08-2025,Tamil Nadu,Krishnagiri,635115,0,1
15-08-2025,Tamil Nadu,Krishnagiri,635306,0,2
16-08-2025,Tamil Nadu,Krishnagiri,635002,0,2
16-08-2025,Tamil Nadu,Krishnagiri,635108,0,1
16-08-2025,Tamil Nadu,Krishnagiri,635304,1,0
16-08-2025,Tamil Nadu,Krishnagiri,636902,0,1
17-08-2025,Tamil Nadu,Krishnagiri,635001,0,1
17-08-2025,Tamil Nadu,Krishnagiri,635119,0,2
17-08-2025,Tamil Nadu,Krishnagiri,635204,0,1
11-08-2025,Tamil Nadu,Krishnagiri,635654,0,1
10-08-2025,Tamil Nadu,Krishnagiri,635306,0,3
01-08-2025,Tamil Nadu,Krishnagiri,635106,0,4
03-08-2025,Tamil Nadu,Krishnagiri,635105,0,2
03-08-2025,Tamil Nadu,Krishnagiri,635108,0,1
03-08-2025,Tamil Nadu,Krishnagiri,635207,0,2
25-07-2025,Tamil Nadu,Krishnagiri,636902,0,2
26-07-2025,Tamil Nadu,Krishnagiri,635111,2,0
27-07-2025,Tamil Nadu,Krishnagiri,635105,0,1
20-07-2025,Tamil Nadu,Krishnagiri,635107,0,6
14-07-2025,Tamil Nadu,Krishnagiri,635111,0,1
30-06-2025,Tamil Nadu,Krishnagiri,636806,0,1
06-07-2025,Tamil Nadu,Krishnagiri,635109,2,10
06-07-2025,Tamil Nadu,Krishnagiri,635114,0,1
07-07-2025,Tamil Nadu,Krishnagiri,635111,0,1
08-07-2025,Tamil Nadu,Krishnagiri,636812,0,2
12-07-2025,Tamil Nadu,Krishnagiri,635102,17,4
12-07-2025,Tamil Nadu,Krishnagiri,635103,4,4
12-07-2025,Tamil Nadu,Krishnagiri,635104,8,1
12-07-2025,Tamil Nadu,Krishnagiri,635106,1,1
12-07-2025,Tamil Nadu,Krishnagiri,635109,33,23
12-07-2025,Tamil Nadu,Krishnagiri,635116,4,4
12-07-2025,Tamil Nadu,Krishnagiri,635118,3,3
12-07-2025,Tamil Nadu,Krishnagiri,635122,3,1
12-07-2025,Tamil Nadu,Krishnagiri,635206,10,8
13-07-2025,Tamil Nadu,Krishnagiri,635206,1,1
13-07-2025,Tamil Nadu,Krishnagiri,635306,1,1
14-07-2025,Tamil Nadu,Krishnagiri,635101,4,0
14-07-2025,Tamil Nadu,Krishnagiri,635105,5,12
14-07-2025,Tamil Nadu,Krishnagiri,635108,1,3
14-07-2025,Tamil Nadu,Krishnagiri,635116,5,9
14-07-2025,Tamil Nadu,Krishnagiri,635119,0,5
14-07-2025,Tamil Nadu,Krishnagiri,635121,16,21
14-07-2025,Tamil Nadu,Krishnagiri,635122,2,3
14-07-2025,Tamil Nadu,Krishnagiri,635204,1,4
14-07-2025,Tamil Nadu,Krishnagiri,635304,2,9
23-07-2025,Tamil Nadu,Krishnagiri,635113,2,10
23-07-2025,Tamil Nadu,Krishnagiri,635119,2,6
23-07-2025,Tamil Nadu,Krishnagiri,635123,0,5
23-07-2025,Tamil Nadu,Krishnagiri,635124,1,0
23-07-2025,Tamil Nadu,Krishnagiri,635126,4,12
23-07-2025,Tamil Nadu,Krishnagiri,635201,2,5
01-08-2025,Tamil Nadu,Krishnagiri,635107,4,16
01-08-2025,Tamil Nadu,Krishnagiri,635120,2,9
01-08-2025,Tamil Nadu,Krishnagiri,635122,6,6
01-08-2025,Tamil Nadu,Krishnagiri,635201,0,3
01-08-2025,Tamil Nadu,Krishnagiri,635207,11,12
01-08-2025,Tamil Nadu,Krishnagiri,635307,11,8
29-07-2025,Tamil Nadu,Krishnagiri,635101,2,0
29-07-2025,Tamil Nadu,Krishnagiri,635102,2,8
29-07-2025,Tamil Nadu,Krishnagiri,635107,6,16
29-07-2025,Tamil Nadu,Krishnagiri,635113,2,6
